efap_id,nta_id,lat,lon
80604,MN0401,40.749384997002,-73.999131498439
85547,MN0401,40.749384997002,-73.999131498439
80757,MN0501,40.748690417847,-73.992823761883
85701,MN0302,40.718893318592,-73.979216097227
80546,MN0302,40.717508417579,-73.979750629463
85706,MN0302,40.720758733342,-73.989388030841
80683,MN0302,40.719624285392,-73.982670870422
85666,MN0302,40.716343437302,-73.987821428297
85481,MN0302,40.717442491315,-73.988695392297
85450,MN0303,40.720425017878,-73.978318900879
85310,MN0303,40.724063665305,-73.984512931681
87046,MN0303,40.720946221103,-73.978116759731
85649,MN0303,40.724258178093,-73.977536843361
80813,MN0303,40.72618176899,-73.980256814871
80814,MN0303,40.72618176899,-73.980256814871
80832,MN0303,40.723186106945,-73.986326840912
80520,MN0202,40.734148677614,-73.995475880326
80577,MN0401,40.743938707339,-74.001222541734
81917,MN0203,40.737939872737,-74.00020937806
85261,MN0203,40.737939872737,-74.00020937806
81297,MN0203,40.737698285061,-73.99780784728
80720,MN0203,40.737698285061,-73.99780784728
80750,MN0501,40.737482908035,-73.99485008039
82997,MN0201,40.724251327553,-74.005159416483
84309,MN0201,40.724251327553,-74.005159416483
82798,MN0603,40.745460039655,-73.98163086302
84328,MN0603,40.745460039655,-73.98163086302
81501,MN0402,40.754857547027,-73.991825777794
80649,MN0401,40.755431020334,-73.997338654517
81169,MN0402,40.75716602051,-73.993779507477
80781,MN0402,40.763549920574,-73.98699860038
80782,MN0402,40.763549920574,-73.98699860038
81451,MN0604,40.757676493086,-73.973372841386
80739,MN0604,40.757676493086,-73.973372841386
80740,MN0604,40.757676493086,-73.973372841386
81119,MN0701,40.779248056243,-73.982981364314
80730,MN0701,40.779248056243,-73.982981364314
81249,MN0702,40.78976791156,-73.975761183564
80752,MN0702,40.789479822454,-73.977332128715
80846,MN0702,40.788521481592,-73.976837178834
81546,MN0702,40.792866198332,-73.973006984473
81523,MN0702,40.792866198332,-73.973006984473
82861,MN0901,40.806780711624,-73.964876109723
81251,MN0901,40.806780711624,-73.964876109723
81067,MN0901,40.803057944902,-73.963712310484
80801,MN0901,40.803057944902,-73.963712310484
80543,MN0901,40.806967135651,-73.96562562477
81120,MN0901,40.806780711624,-73.964876109723
83311,MN0703,40.799448512369,-73.959467297374
85116,MN0703,40.796418032498,-73.969798593077
84451,MN1001,40.803803086269,-73.954067856748
80474,MN1001,40.803803086269,-73.954067856748
85780,MN1001,40.803163845346,-73.946235765792
80699,MN1001,40.800454470454,-73.9509143
85156,MN1001,40.806465702849,-73.944329154856
80519,MN0902,40.81630786845,-73.952875378132
84157,MN1002,40.810334013127,-73.947244410126
83699,MN1001,40.804665791777,-73.947843234797
80712,MN0901,40.81205646672,-73.962338274928
80667,MN1102,40.799850785606,-73.944862663303
80627,MN1102,40.795862037562,-73.937076349208
83923,MN1101,40.789992229096,-73.941089087696
80861,MN1101,40.796101093123,-73.949574381779
80862,MN1101,40.796101093123,-73.949574381779
80744,MN1101,40.791973805832,-73.947570683754
85088,MN1002,40.81691224824,-73.942614531506
81977,MN1002,40.81691224824,-73.942614531506
85740,MN1002,40.820550435244,-73.940677075198
80745,MN1002,40.81929009336,-73.941236157274
85319,MN1002,40.818092032288,-73.938033033873
85596,MN1002,40.814114801159,-73.944742137527
80541,MN0903,40.823852124619,-73.946268718746
85473,MN0903,40.830126280002,-73.943944280468
81309,MN0903,40.825821866181,-73.947087381332
85358,MN0903,40.831065885462,-73.941932372065
81071,MN1201,40.834186662965,-73.941443144367
80841,MN1202,40.850493345896,-73.9345747566
81608,MN1201,40.848247482233,-73.935136277703
80618,MN1202,40.854083438989,-73.934751471282
85811,MN1203,40.865559406671,-73.920469102625
84193,MN1203,40.869125175895,-73.920486365733
85357,MN1203,40.861596588645,-73.924557175825
81206,MN1203,40.862070847232,-73.918339191728
84349,MN1203,40.864925567039,-73.919193322193
81353,MN1102,40.801991897597,-73.943468689257
84088,MN1102,40.801991897597,-73.943468689257
81641,MN1102,40.802252855624,-73.936267167458
81589,MN1102,40.797111180387,-73.934510103803
81980,MN1102,40.797111180387,-73.934510103803
84245,MN1102,40.804784662874,-73.9382398116
80721,MN1102,40.803999839997,-73.936381336352
81507,MN0402,40.761423187363,-73.991643159991
82212,MN1002,40.81161141765,-73.940991907782
83883,MN1002,40.812786157032,-73.939956357401
80764,MN1002,40.815627912961,-73.938354599469
85812,MN1002,40.828495531845,-73.937929348789
81612,MN1002,40.826064259835,-73.93797631585
85602,MN0801,40.761652036118,-73.949797534232
80518,MN0802,40.763796295261,-73.969241880411
80800,MN0801,40.77375403137,-73.956190260238
87208,MN0803,40.781034858862,-73.945275997927
84540,MN0803,40.779715085963,-73.9473932294
81622,MN0803,40.779715085963,-73.9473932294
85730,SI0101,40.637320690637,-74.085009230171
85449,SI0101,40.643010417288,-74.078798204644
84770,SI0106,40.640230325854,-74.1343074921
85454,SI0106,40.635915198805,-74.130517335327
85380,SI0107,40.636468423449,-74.164989679166
81559,SI0201,40.605080859854,-74.092509378186
85356,SI0102,40.621174240486,-74.080996494648
81046,SI0102,40.630551920726,-74.081018300518
81047,SI0102,40.629374938014,-74.080398938737
83656,SI0104,40.631634550285,-74.086407344452
81033,SI0102,40.626570812992,-74.07818945095
81034,SI0102,40.626544257407,-74.078204811534
82139,SI0102,40.623329980272,-74.078861189009
81360,SI0102,40.623329980272,-74.078861189009
81039,SI0102,40.625595335322,-74.075677643168
81040,SI0102,40.625595335322,-74.075677643168
85326,SI0102,40.614482821363,-74.085705645738
85752,SI0202,40.571543414513,-74.111898993986
81028,SI0304,40.528591179835,-74.213899799114
85486,SI0302,40.53978615966,-74.160827398495
83197,SI0203,40.594884500904,-74.125495264251
81597,BX0102,40.82237737233,-73.910279768469
85353,BX0401,40.823175833296,-73.921856296845
80137,BX0301,40.822744387901,-73.913662860877
81048,BX0301,40.822744387901,-73.913662860877
81113,BX0403,40.836316102569,-73.91627951793
84086,BX0401,40.831447291575,-73.921800275801
87090,BX0402,40.839303386267,-73.925819658025
85788,BX0403,40.837183672012,-73.922231973307
85056,BX0402,40.84162047013,-73.924842604338
84438,BX0401,40.836618610712,-73.919130374716
85011,BX0402,40.835059283267,-73.925963998043
85786,BX0501,40.852063080264,-73.913962548008
87062,BX0501,40.853738016989,-73.908483222465
85713,BX0501,40.855318681156,-73.907242706443
81316,BX0502,40.849827176859,-73.908041213374
81061,BX0101,40.811054514626,-73.92138233826
80149,BX0101,40.808209869881,-73.916625665723
80150,BX0101,40.808209869881,-73.916625665723
82756,BX0101,40.809972860307,-73.92511393628
80159,BX0101,40.806202894029,-73.915864158197
80029,BX0101,40.81486428335,-73.918751424124
82750,BX0102,40.818149305862,-73.91670954044
85355,BX0102,40.815367881821,-73.909408103791
82096,BX0102,40.817792495163,-73.904952662349
80182,BX0102,40.813639532461,-73.904059829945
81319,BX0102,40.813639532461,-73.904059829945
81582,BX0101,40.814071590125,-73.914921913697
85729,BX0303,40.833932784779,-73.89658505264
85818,BX1201,40.889113077946,-73.856274889311
80081,BX0302,40.836675817434,-73.902254097467
80082,BX0302,40.836675817434,-73.902254097467
85285,BX0302,40.831040779585,-73.909440776854
84319,BX0301,40.827357544555,-73.904914627444
84177,BX0301,40.827357544555,-73.904914627444
84953,BX0301,40.825668349498,-73.906653932567
84268,BX0301,40.829037927539,-73.902984085716
85294,BX0401,40.829019160783,-73.916641545792
80015,BX0403,40.836786270687,-73.91194327899
84129,BX0401,40.830864097417,-73.912356605405
85031,BX0301,40.825499443477,-73.909004396747
85545,BX0603,40.851603484366,-73.884968487009
80026,BX0302,40.841895111878,-73.901032309585
85785,BX0602,40.847022878356,-73.898313062151
85718,BX0502,40.846653174,-73.906002128323
85748,BX0602,40.841534665018,-73.891570140343
85741,BX0502,40.855246446064,-73.898907194314
85594,BX0502,40.854360923781,-73.900946842736
83550,BX0702,40.865681451339,-73.886467162163
80121,BX0702,40.865681451339,-73.886467162163
81637,BX0603,40.856625815875,-73.895115024553
85560,BX0202,40.823817641031,-73.896246437044
83465,BX0202,40.826047682359,-73.89676375623
85387,BX0303,40.830405951484,-73.89064097632
85186,BX0303,40.831473316369,-73.891368239639
82716,BX0202,40.821782048476,-73.899397105544
82210,BX0202,40.824660106459,-73.899462308556
84034,BX0202,40.820754765604,-73.899377258844
80174,BX0202,40.822495328528,-73.89899045763
85027,BX0102,40.819006815239,-73.903340387474
80065,BX0602,40.842988987688,-73.889471749927
81436,BX0601,40.840308613222,-73.883466652009
81435,BX0601,40.840308613222,-73.883466652009
81511,BX0901,40.837947591328,-73.868679161974
80167,BX0601,40.841381615297,-73.885441745832
85283,BX0303,40.833477717631,-73.888875276848
85803,BX1002,40.838798079534,-73.825987800501
85174,BX1001,40.838539456983,-73.844473108109
80086,BX1101,40.8551925506,-73.865805924307
85709,BX0904,40.835267131586,-73.862055063163
85565,BX0904,40.834444192648,-73.857242780676
85792,BX0904,40.834030111288,-73.854760106665
80162,BX0904,40.834564879349,-73.862017437589
85574,BX0801,40.877271520862,-73.900756007233
85109,BX1201,40.886794324494,-73.851882100434
85505,BX1202,40.887773173224,-73.830728979657
85736,BX1201,40.889082631474,-73.856455891105
83678,BX1201,40.889884970336,-73.858976262841
85329,BX1203,40.896501023491,-73.855743709506
85225,BX0703,40.869629695542,-73.8797034568
85796,BX0602,40.842319749335,-73.893888500392
85499,BX0703,40.881375079165,-73.88126548369
85480,BX0703,40.875515562383,-73.877465908771
80175,BX0701,40.861648476242,-73.906017758632
81347,BX0503,40.861953764788,-73.899273346255
81348,BX0503,40.861953764788,-73.899273346255
84228,BX0702,40.871716993994,-73.891982208455
85300,BX0503,40.859612294221,-73.899922408074
85737,BX0701,40.863809764021,-73.900172766671
85455,BX1202,40.871290047344,-73.843638771602
85703,BX1103,40.871850924619,-73.856516073129
85805,BX1202,40.871531377113,-73.847460120385
81315,BX1202,40.871531377113,-73.847460120385
85533,BX1202,40.875204187725,-73.848425983253
85719,BX1103,40.87147401457,-73.849569573212
82781,BX1201,40.880860529362,-73.857627986186
85317,BX0901,40.82619179013,-73.8785393
85482,BX0901,40.833213273699,-73.866516480756
85003,BX0901,40.831401942157,-73.879754619468
85765,BX0903,40.82163633492,-73.848715231782
81145,BX0903,40.821402370018,-73.848508831077
85699,BX0902,40.813114380151,-73.85438387383
85600,BX0903,40.82391906127,-73.844529532571
83382,BX0902,40.814757123175,-73.85649552252
82315,BX0902,40.814993202394,-73.861307754504
85795,BX0201,40.814628603227,-73.893273835525
85472,BX0201,40.814041783898,-73.891260347239
80085,BX1004,40.876735948233,-73.83369294582
