report_date,borough,community_districts,family_with_children_commercial_hotel,family_with_children_shelter,family_cluster
2025-12-31,Queens,10.0,669.0,,
2025-12-31,Queens,12.0,6430.0,1287.0,
2025-12-31,Queens,13.0,,564.0,
2025-12-31,Queens,14.0,235.0,,
2025-12-31,Queens,2.0,985.0,245.0,
2025-12-31,Queens,3.0,1938.0,802.0,
2025-12-31,Queens,4.0,,537.0,
2025-12-31,Queens,5.0,,186.0,
2025-12-31,Queens,6.0,,244.0,
2025-11-30,Bronx,2.0,,731.0,
2025-11-30,Staten Island,2.0,,131.0,
2025-11-30,Staten Island,1.0,50.0,516.0,
2025-11-30,Queens,9.0,,,
2025-11-30,Queens,8.0,161.0,301.0,
2025-11-30,Queens,7.0,71.0,,
2025-11-30,Queens,6.0,,229.0,
2025-11-30,Queens,5.0,,216.0,
2025-11-30,Queens,4.0,,535.0,
2025-11-30,Queens,3.0,1939.0,790.0,
2025-11-30,Bronx,1.0,207.0,1483.0,
2025-11-30,Queens,2.0,962.0,216.0,
2025-11-30,Queens,14.0,237.0,,
2025-11-30,Queens,13.0,375.0,570.0,
2025-11-30,Queens,12.0,6421.0,1298.0,
2025-11-30,Queens,11.0,169.0,,
2025-11-30,Queens,10.0,659.0,,
2025-11-30,Queens,1.0,3763.0,502.0,
2025-11-30,Manhattan,9.0,,597.0,
2025-11-30,Manhattan,8.0,530.0,,
2025-11-30,Manhattan,7.0,971.0,336.0,
2025-11-30,Manhattan,6.0,268.0,613.0,
2025-11-30,Manhattan,5.0,2573.0,376.0,
2025-11-30,Manhattan,4.0,1119.0,356.0,
2025-11-30,Manhattan,3.0,98.0,102.0,
2025-11-30,Manhattan,2.0,263.0,,
2025-11-30,Manhattan,12.0,,,
2025-11-30,Manhattan,11.0,,488.0,
2025-11-30,Manhattan,10.0,,591.0,
2025-11-30,Manhattan,1.0,536.0,,
2025-11-30,Brooklyn,9.0,,343.0,
2025-11-30,Brooklyn,8.0,,519.0,
2025-11-30,Brooklyn,7.0,301.0,347.0,
2025-11-30,Brooklyn,6.0,114.0,432.0,
2025-11-30,Brooklyn,5.0,640.0,1026.0,
2025-11-30,Brooklyn,4.0,42.0,812.0,
2025-11-30,Brooklyn,3.0,437.0,413.0,
2025-11-30,Brooklyn,2.0,,239.0,
2025-11-30,Brooklyn,18.0,303.0,744.0,
2025-11-30,Brooklyn,17.0,180.0,1534.0,
2025-11-30,Brooklyn,16.0,572.0,2155.0,
2025-11-30,Brooklyn,15.0,433.0,172.0,
2025-11-30,Brooklyn,14.0,,73.0,
2025-11-30,Brooklyn,13.0,,355.0,
2025-11-30,Brooklyn,12.0,,138.0,
2025-11-30,Brooklyn,1.0,401.0,,
2025-11-30,Bronx,9.0,295.0,1530.0,
2025-11-30,Bronx,8.0,,592.0,
2025-11-30,Bronx,3.0,,1279.0,
2025-11-30,Bronx,7.0,206.0,928.0,
2025-11-30,Bronx,6.0,1235.0,1806.0,
2025-11-30,Bronx,5.0,156.0,1079.0,
2025-11-30,Bronx,4.0,295.0,2010.0,
2025-11-30,Bronx,10.0,,520.0,
2025-11-30,Bronx,11.0,,,
2025-11-30,Bronx,12.0,269.0,1065.0,
2025-10-31,Bronx,12.0,265.0,1038.0,
2025-10-31,Bronx,2.0,,731.0,
2025-10-31,Bronx,3.0,,1267.0,
2025-10-31,Bronx,4.0,303.0,2036.0,
2025-10-31,Bronx,5.0,152.0,1108.0,
2025-10-31,Bronx,6.0,1236.0,1720.0,
2025-10-31,Bronx,7.0,210.0,910.0,
2025-10-31,Bronx,8.0,,590.0,
2025-10-31,Bronx,9.0,291.0,1434.0,
2025-10-31,Brooklyn,1.0,433.0,,
2025-10-31,Brooklyn,12.0,,118.0,
