report_date,year,month,Year-Month,family_with_children_shelter
2024-10-31,2024,10,2024-10,513
2024-10-31,2024,10,2024-10,559
2024-10-31,2024,10,2024-10,387
2024-10-31,2024,10,2024-10,374
2024-10-31,2024,10,2024-10,330
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,142
2024-10-31,2024,10,2024-10,424
2024-10-31,2024,10,2024-10,90
2024-10-31,2024,10,2024-10,194
2024-10-31,2024,10,2024-10,2397
2024-10-31,2024,10,2024-10,1640
2024-10-31,2024,10,2024-10,801
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,99
2024-10-31,2024,10,2024-10,384
2024-10-31,2024,10,2024-10,977
2024-10-31,2024,10,2024-10,512
2024-10-31,2024,10,2024-10,356
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,692
2024-10-31,2024,10,2024-10,581
2024-10-31,2024,10,2024-10,529
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,319
2024-10-31,2024,10,2024-10,281
2024-10-31,2024,10,2024-10,763
2024-10-31,2024,10,2024-10,524
2024-10-31,2024,10,2024-10,246
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,282
2024-10-31,2024,10,2024-10,0
2024-10-31,2024,10,2024-10,0
2024-09-30,2024,9,2024-09,167
2024-09-30,2024,9,2024-09,691
2024-09-30,2024,9,2024-09,348
2024-09-30,2024,9,2024-09,563
2024-09-30,2024,9,2024-09,1003
2024-09-30,2024,9,2024-09,387
2024-09-30,2024,9,2024-09,107
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,828
2024-09-30,2024,9,2024-09,1590
2024-09-30,2024,9,2024-09,2420
2024-09-30,2024,9,2024-09,196
2024-09-30,2024,9,2024-09,88
2024-09-30,2024,9,2024-09,407
2024-09-30,2024,9,2024-09,135
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,346
2024-09-30,2024,9,2024-09,388
2024-09-30,2024,9,2024-09,349
2024-09-30,2024,9,2024-09,578
2024-09-30,2024,9,2024-09,504
2024-09-30,2024,9,2024-09,777
2024-09-30,2024,9,2024-09,439
2024-09-30,2024,9,2024-09,74
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,810
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,566
2024-09-30,2024,9,2024-09,1518
2024-09-30,2024,9,2024-09,380
2024-09-30,2024,9,2024-09,408
2024-09-30,2024,9,2024-09,1948
2024-09-30,2024,9,2024-09,1468
2024-09-30,2024,9,2024-09,2169
2024-09-30,2024,9,2024-09,1269
2024-09-30,2024,9,2024-09,802
2024-09-30,2024,9,2024-09,1231
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,582
2024-09-30,2024,9,2024-09,557
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,362
2024-09-30,2024,9,2024-09,296
2024-09-30,2024,9,2024-09,787
2024-09-30,2024,9,2024-09,542
2024-09-30,2024,9,2024-09,234
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,278
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,491
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,1389
2024-09-30,2024,9,2024-09,0
2024-09-30,2024,9,2024-09,836
2024-08-31,2024,8,2024-08,331
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,709
2024-08-31,2024,8,2024-08,622
2024-08-31,2024,8,2024-08,551
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,356
2024-08-31,2024,8,2024-08,291
2024-08-31,2024,8,2024-08,744
2024-08-31,2024,8,2024-08,517
2024-08-31,2024,8,2024-08,242
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,290
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,1403
2024-08-31,2024,8,2024-08,876
2024-08-31,2024,8,2024-08,166
2024-08-31,2024,8,2024-08,443
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,1047
2024-08-31,2024,8,2024-08,381
2024-08-31,2024,8,2024-08,111
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,860
2024-08-31,2024,8,2024-08,1590
2024-08-31,2024,8,2024-08,2370
2024-08-31,2024,8,2024-08,189
2024-08-31,2024,8,2024-08,92
2024-08-31,2024,8,2024-08,363
2024-08-31,2024,8,2024-08,129
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,344
2024-08-31,2024,8,2024-08,384
2024-08-31,2024,8,2024-08,363
2024-08-31,2024,8,2024-08,571
2024-08-31,2024,8,2024-08,524
2024-08-31,2024,8,2024-08,767
2024-08-31,2024,8,2024-08,407
2024-08-31,2024,8,2024-08,75
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,769
2024-08-31,2024,8,2024-08,0
2024-08-31,2024,8,2024-08,540
2024-08-31,2024,8,2024-08,1568
2024-08-31,2024,8,2024-08,183
2024-08-31,2024,8,2024-08,418
2024-08-31,2024,8,2024-08,1986
2024-08-31,2024,8,2024-08,1562
2024-08-31,2024,8,2024-08,2122
2024-08-31,2024,8,2024-08,1356
2024-08-31,2024,8,2024-08,760
2024-08-31,2024,8,2024-08,1238
2024-08-31,2024,8,2024-08,584
2024-08-31,2024,8,2024-08,0
2024-07-31,2024,7,2024-07,0
2024-07-31,2024,7,2024-07,793
2024-07-31,2024,7,2024-07,169
2024-07-31,2024,7,2024-07,390
2024-07-31,2024,7,2024-07,0
2024-07-31,2024,7,2024-07,0
2024-07-31,2024,7,2024-07,0
2024-07-31,2024,7,2024-07,0
2024-07-31,2024,7,2024-07,1348
2024-07-31,2024,7,2024-07,0
2024-07-31,2024,7,2024-07,1215
2024-07-31,2024,7,2024-07,752
2024-07-31,2024,7,2024-07,1292
2024-07-31,2024,7,2024-07,2124
2024-07-31,2024,7,2024-07,1559
2024-07-31,2024,7,2024-07,2014
2024-07-31,2024,7,2024-07,434
2024-07-31,2024,7,2024-07,180
2024-07-31,2024,7,2024-07,1548
2024-07-31,2024,7,2024-07,561
2024-07-31,2024,7,2024-07,0
2024-07-31,2024,7,2024-07,655
2024-07-31,2024,7,2024-07,0
2024-07-31,2024,7,2024-07,71
2024-07-31,2024,7,2024-07,418
2024-07-31,2024,7,2024-07,782
2024-07-31,2024,7,2024-07,516
2024-07-31,2024,7,2024-07,571
2024-07-31,2024,7,2024-07,332
2024-07-31,2024,7,2024-07,355
2024-07-31,2024,7,2024-07,348
2024-07-31,2024,7,2024-07,0
2024-07-31,2024,7,2024-07,0
2024-07-31,2024,7,2024-07,141
2024-07-31,2024,7,2024-07,363
2024-07-31,2024,7,2024-07,91
2024-07-31,2024,7,2024-07,204
2024-07-31,2024,7,2024-07,2314
2024-07-31,2024,7,2024-07,1596
2024-07-31,2024,7,2024-07,843
2024-07-31,2024,7,2024-07,0
2024-07-31,2024,7,2024-07,0
2024-07-31,2024,7,2024-07,110
2024-07-31,2024,7,2024-07,360
2024-07-31,2024,7,2024-07,1014
2024-07-31,2024,7,2024-07,561
2024-07-31,2024,7,2024-07,346
2024-07-31,2024,7,2024-07,0
2024-07-31,2024,7,2024-07,694
2024-07-31,2024,7,2024-07,592
2024-07-31,2024,7,2024-07,534
2024-07-31,2024,7,2024-07,0
2024-07-31,2024,7,2024-07,344
2024-07-31,2024,7,2024-07,297
2024-07-31,2024,7,2024-07,730
2024-07-31,2024,7,2024-07,510
2024-07-31,2024,7,2024-07,240
2024-07-31,2024,7,2024-07,0
2024-07-31,2024,7,2024-07,0
2024-07-31,2024,7,2024-07,282
2024-06-30,2024,6,2024-06,190
2024-06-30,2024,6,2024-06,842
2024-06-30,2024,6,2024-06,1237
2024-06-30,2024,6,2024-06,0
2024-06-30,2024,6,2024-06,0
2024-06-30,2024,6,2024-06,339
2024-06-30,2024,6,2024-06,167
2024-06-30,2024,6,2024-06,803
2024-06-30,2024,6,2024-06,1333
2024-06-30,2024,6,2024-06,0
2024-06-30,2024,6,2024-06,0
2024-06-30,2024,6,2024-06,0
2024-06-30,2024,6,2024-06,276
2024-06-30,2024,6,2024-06,0
2024-06-30,2024,6,2024-06,0
2024-06-30,2024,6,2024-06,246
2024-06-30,2024,6,2024-06,514
2024-06-30,2024,6,2024-06,743
2024-06-30,2024,6,2024-06,292
2024-06-30,2024,6,2024-06,352
2024-06-30,2024,6,2024-06,0
2024-06-30,2024,6,2024-06,502
2024-06-30,2024,6,2024-06,588
2024-06-30,2024,6,2024-06,690
2024-06-30,2024,6,2024-06,0
2024-06-30,2024,6,2024-06,334
2024-06-30,2024,6,2024-06,512
2024-06-30,2024,6,2024-06,1019
2024-06-30,2024,6,2024-06,354
2024-06-30,2024,6,2024-06,101
2024-06-30,2024,6,2024-06,0
2024-06-30,2024,6,2024-06,0
2024-06-30,2024,6,2024-06,1584
2024-06-30,2024,6,2024-06,2341
2024-06-30,2024,6,2024-06,191
2024-06-30,2024,6,2024-06,89
2024-06-30,2024,6,2024-06,377
2024-06-30,2024,6,2024-06,130
2024-06-30,2024,6,2024-06,0
2024-06-30,2024,6,2024-06,751
2024-06-30,2024,6,2024-06,0
2024-06-30,2024,6,2024-06,318
2024-06-30,2024,6,2024-06,326
2024-06-30,2024,6,2024-06,329
2024-06-30,2024,6,2024-06,545
2024-06-30,2024,6,2024-06,501
2024-06-30,2024,6,2024-06,787
2024-06-30,2024,6,2024-06,421
2024-06-30,2024,6,2024-06,66
2024-06-30,2024,6,2024-06,0
2024-06-30,2024,6,2024-06,528
2024-06-30,2024,6,2024-06,0
2024-06-30,2024,6,2024-06,439
2024-06-30,2024,6,2024-06,2008
2024-06-30,2024,6,2024-06,525
2024-06-30,2024,6,2024-06,1567
2024-06-30,2024,6,2024-06,2115
2024-06-30,2024,6,2024-06,1335
2024-06-30,2024,6,2024-06,0
2024-06-30,2024,6,2024-06,1532
2024-05-31,2024,5,2024-05,0
2024-05-31,2024,5,2024-05,1237
2024-05-31,2024,5,2024-05,1289
2024-05-31,2024,5,2024-05,2120
2024-05-31,2024,5,2024-05,1845
2024-05-31,2024,5,2024-05,1962
2024-05-31,2024,5,2024-05,439
2024-05-31,2024,5,2024-05,185
2024-05-31,2024,5,2024-05,1366
2024-05-31,2024,5,2024-05,525
2024-05-31,2024,5,2024-05,0
2024-05-31,2024,5,2024-05,532
2024-05-31,2024,5,2024-05,0
2024-05-31,2024,5,2024-05,67
2024-05-31,2024,5,2024-05,437
2024-05-31,2024,5,2024-05,784
2024-05-31,2024,5,2024-05,473
2024-05-31,2024,5,2024-05,509
2024-05-31,2024,5,2024-05,330
2024-05-31,2024,5,2024-05,310
2024-05-31,2024,5,2024-05,324
2024-05-31,2024,5,2024-05,0
2024-05-31,2024,5,2024-05,0
2024-05-31,2024,5,2024-05,127
2024-05-31,2024,5,2024-05,365
2024-05-31,2024,5,2024-05,77
2024-05-31,2024,5,2024-05,468
2024-05-31,2024,5,2024-05,2250
2024-05-31,2024,5,2024-05,1546
2024-05-31,2024,5,2024-05,1001
2024-05-31,2024,5,2024-05,0
2024-05-31,2024,5,2024-05,0
2024-05-31,2024,5,2024-05,106
2024-05-31,2024,5,2024-05,357
2024-05-31,2024,5,2024-05,1028
2024-05-31,2024,5,2024-05,503
2024-05-31,2024,5,2024-05,330
2024-05-31,2024,5,2024-05,680
2024-05-31,2024,5,2024-05,589
2024-05-31,2024,5,2024-05,501
2024-05-31,2024,5,2024-05,0
2024-05-31,2024,5,2024-05,665
2024-05-31,2024,5,2024-05,268
2024-05-31,2024,5,2024-05,760
2024-05-31,2024,5,2024-05,507
2024-05-31,2024,5,2024-05,227
2024-05-31,2024,5,2024-05,0
2024-05-31,2024,5,2024-05,0
2024-05-31,2024,5,2024-05,298
2024-05-31,2024,5,2024-05,0
2024-05-31,2024,5,2024-05,0
2024-05-31,2024,5,2024-05,0
2024-05-31,2024,5,2024-05,2149
2024-05-31,2024,5,2024-05,801
2024-05-31,2024,5,2024-05,174
2024-05-31,2024,5,2024-05,327
2024-05-31,2024,5,2024-05,0
2024-05-31,2024,5,2024-05,0
2024-05-31,2024,5,2024-05,0
2024-05-31,2024,5,2024-05,789
2024-04-30,2024,4,2024-04,0
2024-04-30,2024,4,2024-04,0
2024-04-30,2024,4,2024-04,2199
2024-04-30,2024,4,2024-04,817
2024-04-30,2024,4,2024-04,164
2024-04-30,2024,4,2024-04,316
2024-04-30,2024,4,2024-04,0
2024-04-30,2024,4,2024-04,0
2024-04-30,2024,4,2024-04,0
2024-04-30,2024,4,2024-04,135
2024-04-30,2024,4,2024-04,1239
2024-04-30,2024,4,2024-04,795
2024-04-30,2024,4,2024-04,1275
2024-04-30,2024,4,2024-04,2134
2024-04-30,2024,4,2024-04,1856
2024-04-30,2024,4,2024-04,1988
2024-04-30,2024,4,2024-04,438
2024-04-30,2024,4,2024-04,203
2024-04-30,2024,4,2024-04,1279
2024-04-30,2024,4,2024-04,533
2024-04-30,2024,4,2024-04,0
2024-04-30,2024,4,2024-04,556
2024-04-30,2024,4,2024-04,0
2024-04-30,2024,4,2024-04,72
2024-04-30,2024,4,2024-04,439
2024-04-30,2024,4,2024-04,801
2024-04-30,2024,4,2024-04,513
2024-04-30,2024,4,2024-04,519
2024-04-30,2024,4,2024-04,331
2024-04-30,2024,4,2024-04,313
2024-04-30,2024,4,2024-04,341
2024-04-30,2024,4,2024-04,0
2024-04-30,2024,4,2024-04,0
2024-04-30,2024,4,2024-04,396
2024-04-30,2024,4,2024-04,74
2024-04-30,2024,4,2024-04,471
2024-04-30,2024,4,2024-04,2331
2024-04-30,2024,4,2024-04,1564
2024-04-30,2024,4,2024-04,1005
2024-04-30,2024,4,2024-04,0
2024-04-30,2024,4,2024-04,0
2024-04-30,2024,4,2024-04,99
2024-04-30,2024,4,2024-04,357
2024-04-30,2024,4,2024-04,1035
2024-04-30,2024,4,2024-04,532
2024-04-30,2024,4,2024-04,347
2024-04-30,2024,4,2024-04,0
2024-04-30,2024,4,2024-04,707
2024-04-30,2024,4,2024-04,578
2024-04-30,2024,4,2024-04,508
2024-04-30,2024,4,2024-04,0
2024-04-30,2024,4,2024-04,709
2024-04-30,2024,4,2024-04,300
2024-04-30,2024,4,2024-04,790
2024-04-30,2024,4,2024-04,541
2024-04-30,2024,4,2024-04,228
2024-04-30,2024,4,2024-04,0
2024-04-30,2024,4,2024-04,0
2024-04-30,2024,4,2024-04,294
2024-04-30,2024,4,2024-04,0
2024-03-31,2024,3,2024-03,0
2024-03-31,2024,3,2024-03,837
2024-03-31,2024,3,2024-03,172
2024-03-31,2024,3,2024-03,286
2024-03-31,2024,3,2024-03,0
2024-03-31,2024,3,2024-03,0
2024-03-31,2024,3,2024-03,0
2024-03-31,2024,3,2024-03,1336
2024-03-31,2024,3,2024-03,1206
2024-03-31,2024,3,2024-03,0
2024-03-31,2024,3,2024-03,0
2024-03-31,2024,3,2024-03,0
2024-03-31,2024,3,2024-03,304
2024-03-31,2024,3,2024-03,0
2024-03-31,2024,3,2024-03,0
2024-03-31,2024,3,2024-03,834
2024-03-31,2024,3,2024-03,255
2024-03-31,2024,3,2024-03,521
